"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"577
Sm Animal Emrgncy&Crit Care II","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"632
Companion Animal&Equine Med I","001","","99","3.263","27.3","19.2","40.4","5.1","8.1",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","99","2.793","8.1","9.1","44.4","10.1","28.3",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","16","4.000","68.8",".",".",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","17","4.000","47.1",".",".",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","21","4.000","4.8",".",".",".",".",".",".","95.2",".",".",".",".",".",".",".","."
"670","001","","37","4.000","10.8",".",".",".",".",".",".","89.2",".",".",".",".",".",".",".","."
"670","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","39","4.000","12.8",".",".",".",".",".",".","87.2",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","33","4.000","24.2",".",".",".",".",".",".","63.6",".",".",".",".","3.0",".","9.1","."
"675","001","","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"675","002","","34","4.000","58.8",".",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"675","003","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","82","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","007","","17","4.000","23.5",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","."
"675","008","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"675","010","","10","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"675","026","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","205","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"678","001","","37","4.000","16.2",".",".",".",".",".",".","83.8",".",".",".",".",".",".",".","."
"678","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","40","4.000","22.5",".",".",".",".",".",".","77.5",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","14","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","36","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"775","001","","45","",".",".",".",".",".",".",".","97.8",".",".",".",".",".",".","2.2","."
"775","002","","26","",".",".",".",".",".",".",".","96.2",".",".",".",".",".",".","3.8","."
"775","003","","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".","7.7","."
"775","004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Externship","Course Total","","90","",".",".",".",".",".",".",".","96.7",".",".",".",".",".",".","3.3","."
