"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","67","3.531","61.2","7.5","16.4","3.0","4.5","1.5","1.5",".","",".",".","",".",".","4.5",".",".","."
"Senior","188","3.641","67.6","11.7","11.7","2.7","3.7","0.5","1.1",".","",".",".","",".","1.1",".",".",".","."
"Undergraduates","260","3.605","65.8","10.4","12.7","3.1","4.2","0.8","1.2",".","",".",".","",".","0.8","1.2",".",".","."
"Special","6","3.559","50.0","16.7","16.7","16.7",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","67","3.484","31.3","9.0","7.5","1.5","3.0","1.5",".","3.0","",".",".","",".","41.8",".",".","1.5","."
"Prof Yr 1","48","3.719","54.2","35.4","10.4",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","8","3.526","25.0","50.0","12.5",".",".",".",".",".","",".",".","",".","12.5",".",".",".","."
"Professionals","56","3.696","50.0","37.5","10.7",".",".",".",".",".","",".",".","",".","1.8",".",".",".","."
