"Research Methods&Materials","001
800","7","4.000","85.7",".",".",".",".",".",".",".",".","",".",".","",".","14.3",".",".","."
"","990
005","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
013","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"LINGUIS
550","Dept. Total","387","3.379","39.8","25.6","17.1","7.2","5.4","1.8","0.8","0.5","",".",".","",".","0.3","0.5","0.5","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.167","24.7","28.8","23.3","13.7","2.7","4.1","1.4",".","",".",".","",".",".",".",".","1.4","."
"Sophomore","","129","3.370","34.9","31.0","18.6","6.2","7.0","1.6",".",".","",".",".","",".",".",".",".","0.8","."
"Junior","","86","3.256","38.4","24.4","16.3","5.8","9.3","2.3","2.3",".","",".",".","",".",".",".","1.2",".","."
"Senior","","67","3.565","49.3","25.4","13.4","7.5","3.0",".",".",".","",".",".","",".",".","1.5",".",".","."
"Undergraduates","","355","3.338","36.3","27.9","18.0","7.9","5.9","2.0","0.8",".","",".",".","",".",".","0.3","0.3","0.6","."
"Special","","7","3.750","57.1",".","14.3",".",".",".",".","14.3","",".",".","",".",".",".","14.3",".","."
"Graduate","","25","3.955","84.0",".","4.0",".",".",".",".","4.0","",".",".","",".","4.0","4.0",".",".","."
"","Dept. Total","387","3.379","39.8","25.6","17.1","7.2","5.4","1.8","0.8","0.5","",".",".","",".","0.3","0.5","0.5","0.5","."
