"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"721
Neural Basis for Movement","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Cardiores Adapt-Envr&Exer","001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Human Occupation and Health","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar in Kinesiology","001","","34","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","21","",".",".",".",".",".",".",".","95.2",".",".",".","4.8",".",".",".","."
"991
Rsch in Physical Activity","001","","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
