"","990
012","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
025","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
026","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","8","",".",".",".",".",".","",".","",".","62.5","",".",".","",".","37.5",".",".",".","."
"AGROECOL
130","Dept. Total","104","3.673","45.2","15.4","7.7","1.9","1.9","",".","",".","4.8","",".","18.3","",".","2.9","1.0",".","1.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"130
AGROECOL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","13","3.654","53.8","30.8","7.7","7.7",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","18","3.389","38.9","22.2","27.8",".","11.1","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","13","3.769","69.2","15.4","15.4",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","49","3.571","51.0","24.5","16.3","4.1","4.1","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","","","","",".","",".",".",".",".","50.0","."
"Graduate","","53","3.926","41.5","5.7",".",".",".","",".","",".","9.4","",".","35.8","",".","5.7","1.9",".",".","."
"","Dept. Total","104","3.673","45.2","15.4","7.7","1.9","1.9","",".","",".","4.8","",".","18.3","",".","2.9","1.0",".","1.0","."
