"ENGLISH AS A SECOND LANGUASection","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"118
015","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"016
118","15","3.500","46.7","26.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Academic Writing II","182","3.602","54.4","28.0","12.1","2.2","1.1","0.5","1.6",".",".",".",".",".",".",".",".","."
"328
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"003
328","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"328
004","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Skills Workshops","26","",".",".",".",".",".",".",".",".",".","96.2","3.8",".",".",".",".","."
"343
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"343
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Oral Communication Skills","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"344
001
Acad Present. and Discussion","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
American English Pronunciation","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"349
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"349
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing for Grads","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL
Dept. Total
351","775","3.602","12.8","6.6","2.8","0.5","0.3","0.1","0.4",".",".","76.1","0.4",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"Freshmen","274","3.711","4.4","1.5","0.7","0.4",".",".",".",".",".","92.3","0.7",".",".",".",".","."
"Sophomore","235","3.522","17.0","6.0","3.0","1.3","0.4",".","1.3",".",".","70.6","0.4",".",".",".",".","."
"Junior","81","3.750","32.1","21.0","3.7",".",".",".",".",".",".","43.2",".",".",".",".",".","."
"Senior","67","3.531","31.3","23.9","14.9",".","1.5","1.5",".",".",".","26.9",".",".",".",".",".","."
"Undergraduates","657","3.602","15.1","7.8","3.3","0.6","0.3","0.2","0.5",".",".","71.8","0.5",".",".",".",".","."
"Special","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Graduate","112","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Dept. Total","803","3.602","12.3","6.4","2.7","0.5","0.2","0.1","0.4",".",".","76.7","0.6",".",".",".",".","."
