"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162","001","133","3.583","50.4","28.6","15.0","2.3","3.0",".","0.8",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","368","3.584","47.3","32.1","15.2","3.8","0.8","0.3","0.5",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202","001","105","3.638","45.7","38.1","15.2",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Information for Communication","203","001","105","3.519","37.1","41.0","13.3","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","335","001","20","3.316","5.0","55.0","30.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","335","002","20","3.450","25.0","50.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","15","3.300",".","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","55","3.361","10.9","54.5","27.3","5.5",".",".",".",".",".",".",".",".","1.8",".",".","."
"","345","001","41","3.732","63.4","24.4","9.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","345","002","49","3.857","77.6","20.4",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","","Course Total","90","3.800","71.1","22.2","4.4",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Design","411","001","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazine Publishing","417","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video Journalism","425","001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community-Based Reporting","426","001","8","3.375","75.0",".",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","445","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447","001","23","3.591","43.5","34.8","8.7","8.7",".",".",".",".",".",".",".",".","4.3",".",".","."
"Account Planning & Strategy","449","001","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sports Communication","450","001","20","3.969","75.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","20.0","."
"Digital Media Strategies","463","001","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","93","3.548","29.0","54.8","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Media and the Consumer","564","001","98","3.597","49.0","29.6","13.3","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565","001","78","3.591","47.4","28.2","17.9","3.8","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"Colloquium Prof Comm Careers","601","001","65","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","30","3.733","66.7","16.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","29","3.810","75.9","13.8","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","669","001","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","003","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","","Course Total","52","3.971","94.2","5.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
