"CLASSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","",""
"Legacy of Greece & Rome","100","001","29","3.808","55.2","34.5",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","18","3.167","11.1","27.8","50.0","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Ancient Monsters","150","001","89","3.414","22.5","47.2","20.2","4.5","3.4",".",".",".",".",".",".",".","1.1","1.1",".","."
"Art&Archaeology-Ancient Greece","300","001","27","3.574","63.0","18.5","11.1",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"The Greeks","320","001","146","3.612","61.0","21.2","6.8","2.7","4.1",".","2.1","2.1",".",".",".",".",".",".",".","."
"The Egyptians","321","001","40","3.458","52.5","10.0","10.0","7.5","7.5","2.5",".","5.0",".",".",".",".",".",".","5.0","."
"Sex and Power","361","001","42","3.317","31.0","35.7","16.7","2.4","7.1","4.8",".",".",".",".",".",".","2.4",".",".","."
"","373","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Classical Culture","","Course Total","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","","Course Total","5","***","","","","","","","","","","","","","","","",""
