"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","27","3.463","59.3","11.1","11.1",".","18.5",".",".",".",".",".",".",".",".",".",".","."
"","1
010","39","3.987","94.9","2.6",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","1
011","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
012","25","3.780","60.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
1","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","1
015","29","3.429","41.4",".","55.2",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","1
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","167","3.712","74.3","9.0","12.0",".","3.6",".",".","0.6",".",".",".",".","0.6",".",".","."
"Contemporary Dance I","11
001","25","3.680","72.0","16.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","111
001","20","3.650","70.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","111
003","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","39","3.712","69.2","25.6","2.6",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","001
118","29","3.897","89.7",".","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
118","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","41","3.902","90.2",".","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","26","3.820","76.9","11.5","3.8",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","132
001","20","3.947","85.0","10.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","135
001","39","3.269","12.8","59.0","12.8","10.3","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","135
002","44","3.818","84.1","9.1",".",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","003
135","35","3.414","31.4","45.7","11.4","8.6",".",".","2.9",".",".",".",".",".",".",".",".","."
"","004
135","30","3.400","36.7","46.7","6.7",".","3.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"","005
135","27","3.593","22.2","74.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","175","3.509","40.0","44.0","6.9","4.0","2.9","0.6","1.7",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Year Workshop","162
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dancing Gender","168
001","144","3.685","74.3","11.1","6.9","1.4","2.8",".","2.8","0.7",".",".",".",".",".",".",".","."
"","2
001","19","3.711","78.9","5.3","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","2
002","25","3.696","72.0","8.0","8.0",".",".",".","4.0","8.0",".",".",".",".",".",".",".","."
"","2
003","39","3.923","92.3","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","004
2","45","3.705","71.1","15.6","4.4","2.2","2.2",".","2.2","2.2",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","128","3.772","78.9","8.6","4.7","1.6","2.3",".","1.6","2.3",".",".",".",".",".",".",".","."
"Writing the Moving Body","001
200","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","001
211","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","211
003","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Contemp Dance Tech & Th III","Course Total","29","3.829","69.0","20.7","3.4",".",".",".",".",".",".",".",".",".","3.4",".","3.4","."
"Ballet II","22
001","17","3.824","82.4",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","25","3.700","64.0","24.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat II","235
001","14","3.714","64.3","28.6",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 102 of 420",""
