"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"ELPA","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","15","3.932","86.7","13.3",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","7","3.786","71.4","14.3","14.3",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","23","3.890","82.6","13.0","4.3",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Special","24","3.825","62.5","12.5","8.3",".",".",".","",".","8.3",".",".","",".",".","8.3",".",".","."
"Graduate","539","3.901","73.1","6.5","1.9","0.7","0.6","0.2","",".","8.7","0.2",".","",".","5.4","2.6","0.2",".","."
"Prof Yr 2","9","3.520","88.9",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","13","3.554","76.9","7.7","7.7",".",".",".","",".",".",".",".","",".",".",".",".",".","."
