"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","21","3.143","23.8","23.8","19.0","23.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","170
003","20","3.375","40.0","20.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
170","16","3.406","43.8","18.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","57","3.298","35.1","21.1","19.3","17.5","7.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","138","3.580","60.9","14.5","16.7","2.9","2.9","0.7","1.4",".",".",".",".",".",".",".",".","."
"Geometric Modeling","231
001","197","3.279","34.0","24.9","21.3","11.7","5.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Dynamics","001
240","103","2.961","11.7","20.4","42.7","12.6","8.7","1.0","2.9",".",".",".",".",".",".",".",".","."
"Eng. Problem Solving EES","273
001","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Undergrad Mech Engr Project","291
050","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
001","41","3.038","26.8","12.2","29.3","14.6","9.8","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"","002
306","66","3.174","30.3","19.7","28.8","9.1","7.6","3.0","1.5",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","107","3.123","29.0","16.8","29.0","11.2","8.4","2.8","1.9","0.9",".",".",".",".",".",".",".","."
"","307
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
307","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
307","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
307","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
014","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","91","3.753","60.4","29.7","9.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
313","75","3.587","48.0","33.3","10.7","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","313
002","74","3.642","41.9","45.9","10.8","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","149","3.614","45.0","39.6","10.7","2.7","2.0",".",".",".",".",".",".",".",".",".",".","."
"","314
001","57","3.482","35.1","33.3","24.6","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","314
002","51","3.216","21.6","19.6","43.1","11.8","3.9",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","108","3.356","28.7","26.9","33.3","9.3","1.9",".",".",".",".",".",".",".",".",".",".","."
"Computer-Aided Engineering","001
331","90","3.239","22.2","31.1","33.3","7.8","3.3",".","2.2",".",".",".",".",".",".",".",".","."
"Dynamic Systems","001
340","141","3.379","39.0","24.8","19.9","9.9","5.0","0.7","0.7",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","99","3.025","18.2","20.2","24.2","23.2","14.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Controls for ME","346
001","100","3.345","22.0","43.0","21.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","349
001","12","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
003","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","20","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","001
351","136","3.831","75.7","16.9","5.9","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 140 of 420",""
