"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","13","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","53","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","36","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","330","3.049","10.6","8.5","25.5","4.5","10.9","",".","",".","40.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","393","4.000","24.2",".",".",".",".","",".","",".","74.0","",".",".","",".","",".","0.3",".","1.5","."
"Professionals","812","3.182","16.0","3.4","10.3","1.8","4.4","",".","",".","63.1","",".",".","",".","",".","0.1",".","0.7","."
