"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","341
002","36","3.500","36.1","38.9","16.7","2.8",".","2.8",".","2.8",".",".",".",".",".",".",".","."
"Linear Algebra","Course Total","62","3.107","33.9","25.8","17.7","1.6","4.8","12.9","1.6","1.6",".",".",".",".",".",".",".","."
"","375
001","24","3.000","20.8","4.2","37.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
375","19","3.289","21.1","31.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","Course Total","43","3.128","20.9","16.3","37.2","18.6","7.0",".",".",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","41","3.073","26.8","36.6","9.8","7.3","9.8","4.9","4.9",".",".",".",".",".",".",".",".","."
"","421
001","36","3.129","36.1","16.7","16.7","8.3","13.9","2.8","2.8",".",".",".",".",".",".",".","2.8","."
"","421
002","33","2.545","18.2","6.1","18.2","6.1","42.4","6.1","3.0",".",".",".",".",".",".",".",".","."
"","003
421","37","2.905","21.6","16.2","37.8","8.1","2.7","8.1","5.4",".",".",".",".",".",".",".",".","."
"","004
421","34","2.735","14.7","23.5","17.6","5.9","26.5","11.8",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","Course Total","140","2.835","22.9","15.7","22.9","7.1","20.7","7.1","2.9",".",".",".",".",".",".",".","0.7","."
"","431
001","34","3.103","32.4","11.8","29.4","8.8","14.7",".","2.9",".",".",".",".",".",".",".",".","."
"","431
002","23","2.891","47.8","13.0","4.3",".","13.0","13.0","8.7",".",".",".",".",".",".",".",".","."
"","003
431","29","3.034","20.7","13.8","44.8","6.9","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"","004
431","38","3.079","44.7",".","23.7","10.5","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","124","3.040","36.3","8.9","26.6","7.3","12.9","4.0","4.0",".",".",".",".",".",".",".",".","."
"","435
001","13","3.462","46.2","15.4","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","435
002","13","2.731","30.8","7.7","30.8",".","15.4",".","15.4",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","Course Total","26","3.096","38.5","11.5","30.8",".","11.5",".","7.7",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","31","3.726","71.0","16.1",".","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461
001","22","3.091","31.8","13.6","27.3","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Number Theory","467
001","27","2.900","18.5","18.5","18.5","14.8","18.5",".","3.7","7.4",".",".",".",".",".",".",".","."
"","475
001","21","3.238","38.1","4.8","33.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","002
475","23","3.022","26.1","13.0","26.1","8.7","26.1",".",".",".",".",".",".",".",".",".",".","."
"","003
475","18","3.056","33.3","16.7","11.1","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","62","3.105","32.3","11.3","24.2","12.9","17.7","1.6",".",".",".",".",".",".",".",".",".","."
"","514
001","27","3.093","29.6","18.5","22.2","14.8","11.1",".","3.7",".",".",".",".",".",".",".",".","."
"","514
002","35","2.943","22.9","14.3","28.6","14.3","14.3","2.9","2.9",".",".",".",".",".",".",".",".","."
"Numerical Analysis","Course Total","62","3.008","25.8","16.1","25.8","14.5","12.9","1.6","3.2",".",".",".",".",".",".",".",".","."
"","521
001","33","3.364","39.4","33.3","9.1","9.1","6.1",".","3.0",".",".",".",".",".",".",".",".","."
"","002
521","34","3.441","41.2","14.7","38.2","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","003
521","28","3.107","35.7","14.3","21.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","004
521","30","3.304","46.7","13.3","10.0","10.0","10.0",".","3.3","3.3",".",".",".",".","3.3",".",".","."
"Analysis I","Course Total","125","3.313","40.8","19.2","20.0","7.2","8.0","1.6","1.6","0.8",".",".",".",".","0.8",".",".","."
"","001
522","27","3.192","37.0","11.1","22.2","11.1","11.1","3.7",".",".",".",".",".",".","3.7",".",".","."
"","522
002","30","3.183","40.0","3.3","30.0","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"Analysis II","Course Total","57","3.188","38.6","7.0","26.3","12.3","10.5","3.5",".",".",".",".",".",".","1.8",".",".","."
"Linear Optimization","525
001","38","2.711","13.2","21.1","21.1","10.5","21.1","13.2",".",".",".",".",".",".",".",".",".","."
"","001
541","15","2.967","33.3","13.3","26.7","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","002
541","12","3.083","25.0","33.3","16.7",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","003
541","26","2.731","30.8","11.5","7.7","19.2","11.5","15.4","3.8",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","53","2.877","30.2","17.0","15.1","11.3","11.3","11.3","3.8",".",".",".",".",".",".",".",".","."
"Modern Algebra","542
001","30","3.267","46.7","20.0","13.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
