"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"706","021","","34","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leading and Working in Teams","Course Total","","67","3.985","98.5",".","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Entrepreneurial Management","001","","37","3.878","78.4","18.9","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"723","030","","42","3.500","31.0","35.7","31.0",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"723","050","","51","3.745","49.0","51.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","","93","3.636","40.9","44.1","14.0",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"728
Barg,Negot,Dispute Settlmnt","001","","38","3.803","65.8","28.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"734
Venture Creation","001","","41","3.963","92.7","7.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","050","","51","3.804","72.5","15.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","051","","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","144","3.889","84.7","6.9","5.6",".",".",".",".",".",".",".",".","2.1","0.7",".",".","."
"872
Smr-Org Behavior & Design","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"975
Doctoral Rsch Smr in Mgmt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","10","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
