"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","53","",".",".",".",".",".",".",".","75.5","",".",".","",".","24.5",".",".",".","."
"","992
001","10","4.000","90.0",".",".",".",".",".",".",".","",".",".",".","",".","10.0",".",".","."
"","992
002","42","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Seminar","Course Total","52","4.000","98.1",".",".",".",".",".",".",".","",".",".","",".",".","1.9",".",".","."
"Statistical Consulting","998
001","14","3.893","78.6","21.4",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"STAT
932","Dept. Total","3734","3.298","43.2","18.1","17.4","7.1","8.7","2.3","1.2","1.3","",".","0.0","",".","0.5","0.3",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.329","39.7","22.4","13.8","12.1","10.3","1.7",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","586","3.091","29.9","18.9","21.8","12.5","11.8","3.2","1.5",".","",".",".","",".",".",".",".",".","0.3"
"Junior","","1093","3.173","36.2","17.3","21.2","8.1","12.9","2.8","1.0",".","",".",".","",".",".","0.5",".",".","."
"Senior","","926","3.104","35.5","17.4","19.7","8.9","10.8","3.7","2.5","0.6","",".","0.1","",".","0.5","0.3",".",".","."
"Undergraduates","","2663","3.136","34.7","17.8","20.7","9.4","11.9","3.2","1.6","0.2","",".","0.0","",".","0.2","0.3",".",".","0.1"
"Special","","397","3.763","76.3","15.9","4.8","1.5","1.0",".","0.3","0.3","",".",".","",".",".",".",".",".","."
"Graduate","","672","3.697","57.1","20.7","11.9","1.2","0.4","0.1",".","6.3","",".",".","",".","1.9","0.3",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3734","3.298","43.2","18.1","17.4","7.1","8.7","2.3","1.2","1.3","",".","0.0","",".","0.5","0.3",".",".","0.1"
