"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","10","3.750","70.0","10.0","20.0","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","11","3.773","72.7","9.1","18.2","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","20","3.694","60.0","25.0","15.0","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","112","3.669","54.5","15.2","17.9","",".","0.9","",".","",".","8.0","",".","0.9","",".","",".","0.9",".","1.8","."
"Prof Yr 2","3","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","","","","",".","",".","",".","50.0",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","","","","",".","",".","",".",".",".","25.0","."
"Professionals","11","3.925","63.6","9.1",".","",".",".","",".","",".",".","",".",".","",".","",".","18.2",".","9.1","."
