"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","202
001","312","3.074","30.4","15.4","22.8","16.0","9.0","5.4","1.0",".",".",".",".",".",".",".",".","."
"","002
202","351","3.084","25.9","19.7","24.2","15.1","8.8","4.3","0.9","0.9",".",".",".",".",".","0.3",".","."
"","202
003","238","3.784","77.3","12.6","5.5","1.3","2.1","1.3",".",".",".",".",".",".",".",".",".","."
"","004
202","346","3.365","44.2","20.8","15.9","8.7","6.9","2.6","0.6",".",".",".",".",".",".",".","0.3","."
"","005
202","340","3.117","24.4","27.4","22.4","12.4","6.2","5.3","1.2",".",".",".",".",".","0.9",".",".","."
"","006
202","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
202","325","2.991","21.8","24.3","22.5","13.2","8.3","7.7","1.5",".",".",".",".",".","0.3",".","0.3","."
"","010
202","14","3.036","21.4","14.3","35.7","21.4",".","7.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1950","3.221","35.9","20.4","19.4","11.5","7.0","4.5","0.9","0.2",".",".",".",".","0.2","0.1","0.1","."
"","001
210","55","2.909","32.7","9.1","21.8","12.7","10.9","9.1","3.6",".",".",".",".",".",".",".",".","."
"","002
210","63","3.000","34.9","7.9","27.0","4.8","12.7","9.5","1.6",".",".",".",".",".","1.6",".",".","."
"","210
003","55","2.727","16.4","9.1","29.1","5.5","36.4","1.8","1.8",".",".",".",".",".",".",".",".","."
"","210
004","59","2.805","18.6","10.2","39.0","8.5","13.6","5.1","5.1",".",".",".",".",".",".",".",".","."
"","210
006","68","3.154","26.5","22.1","27.9","8.8","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","300","2.930","26.0","12.0","29.0","8.0","16.7","5.7","2.3",".",".",".",".",".","0.3",".",".","."
"","225
001","94","3.038","12.8","29.8","29.8","11.7","11.7","3.2",".",".",".",".",".",".",".",".","1.1","."
"","225
002","100","3.155","25.0","22.0","21.0","23.0","9.0",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","194","3.098","19.1","25.8","25.3","17.5","10.3","1.5",".",".",".",".",".",".",".",".","0.5","."
"","001
311","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","22","3.990","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","001
349","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","380
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Psychology","399
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychology Law & Social Policy","401
001","105","3.581","55.2","14.3","23.8","4.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Personality","403
001","100","3.025","23.0","21.0","26.0","14.0","7.0","7.0","1.0",".",".",".",".",".",".",".","1.0","."
"","405
001","265","3.080","12.1","41.5","20.0","12.1","8.7","4.5","0.4","0.8",".",".",".",".",".",".",".","."
"","405
002","18","3.389","33.3","44.4","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","Course Total","283","3.106","13.4","41.7","19.4","11.3","8.5","4.6","0.4","0.7",".",".",".",".",".",".",".","."
"","414
001","173","3.038","26.0","12.1","37.6","10.4","6.9","4.6","2.3",".",".",".",".",".",".",".",".","."
"","002
414","14","3.357","35.7","14.3","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","Course Total","187","3.069","26.7","12.3","37.4","10.7","6.4","4.3","2.1",".",".",".",".",".",".",".",".","."
"","449
001","89","3.079","13.5","32.6","28.1","14.6","9.0","1.1","1.1",".",".",".",".",".",".",".",".","."
"","002
449","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Behavior","Course Total","98","3.168","18.4","32.7","25.5","13.3","8.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"","001
456","87","3.523","58.6","21.8","9.2","1.1","2.3","2.3","3.4",".",".",".",".",".","1.1",".",".","."
"","002
456","163","2.874","14.7","16.0","30.7","13.5","17.8","4.3","0.6","0.6",".",".",".",".","0.6",".","1.2","."
"","456
003","8","3.313","37.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","258","3.152","30.2","18.2","22.9","9.3","12.4","3.5","1.6","0.4",".",".",".",".","0.8",".","0.8","."
"Child Development","460
001","190","3.103","25.8","20.5","27.9","9.5","12.1","3.7","0.5",".",".",".",".",".",".",".",".","."
"Depth Topic in Bio Science","505
001","98","3.066","24.5","20.4","33.7","7.1","8.2","2.0","4.1",".",".",".",".",".",".",".",".","."
"Human Emotions:Biology-Culture","508
001","120","3.000","18.3","17.5","29.2","17.5","15.0","1.7",".",".",".",".",".",".",".",".","0.8","."
"Hum Thought:Concpts,Lang,Cult","521
001","102","3.353","42.2","23.5","15.7","7.8","7.8","2.0","1.0",".",".",".",".",".",".",".",".","."
