"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","28","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
