"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","12","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","52","3.828","78.8","9.6","11.5","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","68","3.862","83.8","7.4","8.8","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","67","4.000","23.9",".",".","",".","",".","",".","",".","64.2","",".",".","",".","11.9","",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","","","","",".","",".","33.3","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","","","",".","",".","33.3","",".",".",".","."
