"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","98","3.588","49.0","26.5","17.3","4.1","2.0",".",".",".",".",".",".",".","1.0",".",".","."
"General Botany","130","001","109","3.005","28.4","11.0","35.8","4.6","11.9","5.5","2.8",".",".",".",".",".",".",".",".","."
"","151","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","151","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","151","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","8","3.063","12.5","37.5","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plants and Humans","240","001","70","3.265","28.6","22.9","28.6","8.6","7.1","1.4",".","2.9",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","35","2.557","11.4",".","42.9","2.9","31.4","11.4",".",".",".",".",".",".",".",".",".","."
"Rainforests and Coral Reefs","265","001","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","299","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Plant Anatomy","300","001","16","3.367","37.5","18.8","25.0",".","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"Algae","330","001","12","3.667","75.0",".","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grassland Ecology","370","001","42","3.667","73.8","4.8","9.5","4.8","7.1",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics","400","001","35","3.357","48.6","14.3","17.1","5.7","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"Dendrology","402","001","13","3.792","76.9","7.7",".",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","9","2.722","33.3","11.1","22.2",".",".","33.3",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","18","3.567","38.9","16.7","27.8",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"General Ecology","460","001","35","2.886","5.7","22.9","40.0","11.4","17.1","2.9",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","44","3.628","45.5","38.6","6.8","6.8",".",".",".","2.3",".",".",".",".",".",".",".","."
"","499","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","","Course Total","9","3.905","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","575","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Biochemistry","621","001","11","3.833","63.6","9.1","9.1",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Mineral Nutrition of Plants","626","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","11","3.400","27.3","18.2","45.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","8","",".",".",".",".",".",".",".",".",".",".",".","75.0",".",".","25.0","."
"Senior Thesis","692","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 188 of 420",""
