"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","11602","3.361","43.3","16.7","16.0","6.1","6.5","1.4","0.6","4.8","0.0","0.6","",".","2.6","0.8","0.1","0.5","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","1128","3.230","42.9","18.4","17.6","7.6","10.7","1.3","0.8",".",".",".","",".",".","0.4",".","0.4","."
"Sophomore","","1424","3.291","43.4","18.3","18.3","7.4","8.6","2.0","0.8",".",".","0.6","",".",".","0.3",".","0.4","."
"Junior","","2368","3.247","39.7","17.4","20.4","8.8","9.4","1.9","1.0",".",".","0.6","",".",".","0.2","0.1","0.5","."
"Senior","","4138","3.400","46.7","18.3","18.0","6.3","6.3","1.4","0.5","0.2",".","0.4","",".","0.3","1.3","0.0","0.3","."
"Undergraduates","","9058","3.321","43.9","18.1","18.6","7.3","8.0","1.6","0.7","0.1",".","0.4","",".","0.1","0.7","0.0","0.4","."
"Special","","460","3.327","38.3","19.3","12.0","7.0","6.1","3.0","1.3","6.3",".","0.4","",".",".","0.2","0.2","5.0","0.9"
"Graduate","","2069","3.738","42.1","9.9","5.8","0.8","0.2","0.1","0.0","24.9","0.1","1.2","",".","13.8","1.0","0.1","0.0","."
"Prof Yr 2","","8","3.500","37.5","25.0","12.5",".",".",".",".","12.5",".",".","",".","12.5",".",".",".","."
"Prof Yr 4","","7","4.000","42.9",".",".",".",".",".",".","14.3",".",".","",".","28.6","14.3",".",".","."
"Professionals","","15","3.714","40.0","13.3","6.7",".",".",".",".","13.3",".",".","",".","20.0","6.7",".",".","."
"","College Total","11602","3.361","43.3","16.7","16.0","6.1","6.5","1.4","0.6","4.8","0.0","0.6","",".","2.6","0.8","0.1","0.5","0.0"
