"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","835
010","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
011","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","835
020","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","","58","3.893","75.9","20.7",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","836
010","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
836","","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Mental Hlth Policies&Services","Course Total","","30","3.914","83.3","10.0","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","840
001","","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","","21","3.714","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","62","3.750","53.2","43.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","861
030","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
010","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","Course Total","","32","3.875","78.1","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
001","","24","3.708","62.5","20.8","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","875
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","Course Total","","28","3.732","64.3","21.4","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","920
001","","25","3.780","68.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
010","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
020","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","","39","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evaluation Research","945
001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Proseminar","950
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
