"ENGR PROFESSIONAL DEVELOPSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","18","3.556","16.7","77.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
275","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
275","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","61","3.566","29.5","55.7","13.1","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","397
001","25","3.460","24.0","60.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","397
002","25","3.200","24.0","24.0","28.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","397
003","25","3.660","36.0","60.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
397","24","3.250","29.2","25.0","20.8","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","005
397","22","3.295","22.7","22.7","50.0",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","007
397","24","3.521","29.2","50.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","18","3.250","11.1","38.9","44.4",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","397
010","24","3.375","20.8","37.5","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","24","3.479","20.8","54.2","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
397","23","3.543","34.8","47.8","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","25","3.460","12.0","68.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","276","3.438","27.2","43.5","21.7","5.1","2.5",".",".",".",".",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","001
416","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Independent Study","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","603
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","11","3.273","36.4","36.4","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","612
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","Course Total","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","001
613","30","3.817","70.0","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foster and Lead Innovation","619
001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Gas Dynamics","625
001","33","3.833","87.9","3.0","6.1",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","8","3.071","12.5","25.0","12.5","37.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Engine-Legis Drivers&Alt Fuels","643
001","34","3.985","94.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","2.9"
"Engine-Powertrn Tech&Manufact","644
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","654
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
015","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
016","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","56","3.920","89.3","8.9","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
