"BIOSTATISTICS & MED INFORMA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"541
Intro to Biostatistics","001","","43","3.537","44.2","14.0","37.2",".",".",".",".",".",".",".",".",".",".",".","4.7","."
"544
Intro to Clinical Trials II","001","","17","3.679","41.2","29.4","11.8",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"576
Introduction to Bioinformatics","001","","22","3.650","54.5","18.2","13.6",".","4.5",".",".","9.1",".",".",".",".",".",".",".","."
"651
Adv Regression Mthds-Pop Hlth","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.975","89.5",".","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"826","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"826","023","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","18","3.656","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Biomed DataSci Scholarly Lit 1","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","16","3.968","68.8","6.3",".",".",".",".",".","18.8",".",".",".",".",".",".","6.3","."
"915
Computn&Informatcs in Biol&Med","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"918
Hlth Informatics-Med Students","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Dissertator Research","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
