"","999
008","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
012","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
015","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","8","4.000","75.0",".",".",".","",".","",".",".","12.5","",".",".","",".",".",".",".","12.5","."
"ED POL
310","Dept. Total","779","3.870","71.6","12.6","3.5","0.8","",".","",".","0.1","5.6","",".","1.8","",".","0.9","1.9","0.1","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","3.804","66.1","28.6","5.4",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","92","3.808","78.3","12.0","5.4","2.2","",".","",".","1.1",".","",".",".","",".",".",".",".","1.1","."
"Junior","","198","3.833","72.7","19.2","6.1","0.5","",".","",".",".",".","",".",".","",".",".","1.0","0.5",".","."
"Senior","","235","3.888","81.3","11.9","3.0","1.3","",".","",".",".","0.4","",".",".","",".",".","2.1",".",".","."
"Undergraduates","","581","3.848","76.4","16.0","4.6","1.0","",".","",".","0.2","0.2","",".",".","",".",".","1.2","0.2","0.2","."
"Special","","10","3.938","70.0","10.0",".",".","",".","",".",".",".","",".",".","",".",".",".",".","20.0","."
"Graduate","","187","3.981","57.2","2.1",".",".","",".","",".",".","23.0","",".","7.5","",".","3.7","3.7",".","1.1","."
"Prof Yr 4","","1","***","","","","","","","","","","","","",".","",".",".","100.0",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".",".","100.0",".",".","."
"","Dept. Total","779","3.870","71.6","12.6","3.5","0.8","",".","",".","0.1","5.6","",".","1.8","",".","0.9","1.9","0.1","0.6","."
