"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","164","3.526","42.1","32.9","14.6","6.1","1.2","1.2","0.6",".",".",".",".",".","1.2",".",".","."
"Fund of Theatrical Design","130
001","22","3.864","86.4","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","19","3.579","57.9","31.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","150
001","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","16","3.313","62.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","150
003","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.647","70.6","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","150
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
150","15","3.733","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","108","3.755","81.5","8.3","3.7","1.9","1.9","0.9","1.9",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","28","3.426","28.6","46.4","17.9",".",".",".","3.6",".",".",".",".",".","3.6",".",".","."
"","162
001","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","162
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Experience","Course Total","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Costume Studio Practicum","221
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Light & Sound Studio Practicum","222
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Collaborative Problem Solving","234
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","001
351","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performance in Practice","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"","362
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Makeup for the Theatre","364
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Script Analysis","367
001","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Intro to Stage Management","379
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Translation:Slavic Drama","423
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Costume Technology Topics","464
001","8","2.688","12.5","62.5",".",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"Scenic Painting","472
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business of Acting","501
001","14","3.107","28.6","14.3","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 109 of 420",""
