"OPERATIONS & TECHNOLOGY M Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","134","3.134","16.4","29.9","31.3","11.9","9.0","1.5",".",".",".",".",".",".",".",".",".","."
"","002
300","138","3.369","25.4","36.2","26.8","8.0","2.9",".",".",".",".",".",".",".","0.7",".",".","."
"","300
003","133","3.147","20.3","24.8","31.6","13.5","9.0",".","0.8",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","405","3.218","20.7","30.4","29.9","11.1","6.9","0.5","0.2",".",".",".",".",".","0.2",".",".","."
"Principles & Tech-Qual Mgmt","351
001","49","3.867","73.5","26.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","421
001","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","002
421","15","3.750","66.7","6.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","31","3.817","80.6","3.2","9.7",".","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"","422
001","21","3.524","42.9","19.0","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","17","3.441","35.3","23.5","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","38","3.487","39.5","21.1","36.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","35","3.543","34.3","48.6","11.4","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","002
451","36","3.353","25.0","41.7","8.3","13.9","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Service Operations Mgmt","Course Total","71","3.449","29.6","45.1","9.9","8.5","4.2",".",".",".",".",".",".",".","2.8",".",".","."
"Project Management","452
001","25","3.640","52.0","32.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","632
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","2","***","","","","","","","","","","","","","","","",""
"","722
001","26","3.635","42.3","42.3","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","37","3.649","43.2","43.2","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","050
732","44","3.636","59.1","22.7","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","001
751","35","3.603","51.4","20.0","20.0","5.7",".",".",".",".",".",".",".",".","2.9",".",".","."
"","752
001","66","3.652","48.5","34.8","15.2","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
752","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
050","51","3.931","88.2","9.8","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","144","3.757","68.1","22.9","8.3","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","27","3.741","48.1","51.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
020","33","3.530","36.4","33.3","30.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
021","34","3.455","23.5","41.2","32.4",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Contemporary Topics","Course Total","67","3.492","29.9","37.3","31.3",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Sustainable Approaches","770
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
149","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","2","***","","","","","","","","","","","","","","","",""
