"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"Current Topics-Ed Psych","Course Total","","42","3.954","90.5","2.4","2.4",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"719
Intro to Qualitative Research","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Child Development","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Dev Proc Across Life Span","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","19","3.676","42.1","36.8","10.5",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"741
Socl, Emotionl&Behav Assessmnt","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Assessment of Acad Skill Probs","001","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"760","001","","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","002","","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","","52","3.894","84.6","9.6","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Intro: Dsgn-Ed Experiments","001","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Regression Models in Education","001","","30","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Test Construction","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Intro to Learning Sciences I","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Intro Quant Inquiry in Educ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840","006","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","37","3.983","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Chld&Adoles Psychpathl/Schl","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Advanced Seminar in Human Dev","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"943
Internshp-School Psychology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Res and Meas in School Psych","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","Page 96 of 420"
