"EGR","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMEDICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","","",""
"B M E
207","Dept. Total","864","3.659","50.0","20.8","10.4","2.8","0.7","",".","",".","7.9","",".","4.6","0.1","2.5","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","29","3.697","44.8","44.8","6.9","3.4",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","185","3.609","50.3","28.1","13.0","3.2",".","",".","",".",".","",".","4.9",".",".","",".",".","0.5","."
"Senior","","473","3.653","56.0","20.9","12.7","3.0","0.8","",".","",".",".","",".","6.3","0.2",".","",".",".",".","."
"Undergraduates","","687","3.645","54.0","23.9","12.5","3.1","0.6","",".","",".",".","",".","5.7","0.1",".","",".",".","0.1","."
"Special","","6","3.300","33.3","16.7","16.7",".","16.7","",".","",".",".","",".","16.7",".",".","",".",".",".","."
"Graduate","","204","3.784","28.9","7.4","1.5","1.5","0.5","",".","",".","32.4","",".","17.6",".","10.3","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","","",".",".","100.0","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","",".",".","33.3","",".",".",".","."
"","Dept. Total","900","3.659","48.0","20.0","10.0","2.7","0.7","",".","",".","7.6","",".","8.4","0.1","2.4","",".",".","0.1","."
