"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
029","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
030","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
032","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
033","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
034","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
035","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
036","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","610","3.914","89.8","5.4","2.8","1.3","0.3","0.2",".",".",".",".",".",".","0.2",".",".","."
"Coming to Terms-Cultrl Divrsty","225
001","212","3.875","83.5","11.3","3.8","0.5","0.5","0.5",".",".",".",".",".",".",".",".",".","."
"","237
001","50","3.959","92.0","4.0","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","237
002","99","3.896","88.9","2.0","5.1",".",".",".","1.0",".",".",".",".",".","2.0","1.0",".","."
"Mental Hlth &Diverse Community","Course Total","149","3.917","89.9","2.7","4.0",".",".",".","0.7",".",".",".",".",".","2.0","0.7",".","."
"","300
001","19","3.833","68.4","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","300
010","11","3.455","36.4","36.4","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","30","3.724","56.7","26.7","10.0",".","3.3",".",".",".",".",".",".",".",".",".","3.3","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community-Engaged Scholarship","601
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
005","50","3.980","96.0",".","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","58","3.974","94.8","1.7","1.7",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Clinical Communication Skills","655
001","77","3.645","66.2","18.2","6.5","2.6","2.6",".","2.6","1.3",".",".",".",".",".",".",".","."
"Independent Reading","699
040","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Activities","700
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Clin Mental Hlth Counsl","791
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Theories of Counseling","800
001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Helping Relations & Techniques","805
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Internship in Counseling","808
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev & Clinical Prac","810
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consult in Health Service Psy","850
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Cultural Counseling","860
001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Counseling Psych Externship","904
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethical & Professional Issues","926
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","950
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Indiv Intervention","951
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 83 of 420"
