"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","92","3.054","17.4","26.1","29.3","10.9","13.0","3.3",".",".",".",".",".",".",".",".",".","."
"","002
300","212","3.007","23.6","15.1","29.2","12.7","16.5","0.9","1.9",".",".",".",".",".",".",".",".","."
"","003
300","114","3.026","18.4","16.7","28.1","28.9","6.1","1.8",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","418","3.023","20.8","17.9","28.9","16.7","12.9","1.7","1.0",".",".",".",".",".",".",".",".","."
"","305
001","33","3.303","36.4","9.1","39.4","9.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","305
002","35","2.843","8.6","11.4","48.6","2.9","28.6",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","68","3.066","22.1","10.3","44.1","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","320
001","48","2.906","8.3","14.6","47.9","12.5","14.6","2.1",".",".",".",".",".",".",".",".",".","."
"","320
002","58","3.319","22.4","29.3","41.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","320
003","58","3.276","22.4","24.1","43.1","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","004
320","60","3.390","28.3","28.3","35.0","5.0","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"Investment Theory","Course Total","224","3.238","21.0","24.6","41.5","6.7","5.4","0.4",".",".",".",".",".",".","0.4",".",".","."
"","325
001","57","3.272","22.8","21.1","45.6","8.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","002
325","53","3.346","26.4","30.2","32.1","3.8","5.7",".",".",".",".",".",".",".","1.9",".",".","."
"","003
325","58","3.353","29.3","27.6","37.9","1.7",".","3.4",".",".",".",".",".",".",".",".",".","."
"","325
004","57","3.307","26.3","24.6","36.8","8.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","225","3.319","26.2","25.8","38.2","5.8","2.7","0.9",".",".",".",".",".",".","0.4",".",".","."
"","001
330","57","3.298","31.6","19.3","31.6","12.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","330
002","51","3.430","33.3","29.4","25.5","7.8","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"","330
003","55","3.227","27.3","14.5","47.3","5.5","3.6",".","1.8",".",".",".",".",".",".",".",".","."
"","330
004","19","3.167","21.1","36.8","10.5","5.3","21.1",".",".","5.3",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","182","3.300","29.7","22.5","32.4","8.2","5.5",".","0.5","0.5",".",".",".",".","0.5",".",".","."
"","365
002","16","3.656","56.3","31.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","365
003","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.713","62.5","28.1","6.3",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","92","3.467","30.4","37.0","28.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","42","3.560","47.6","28.6","19.0","2.4",".","2.4",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","39","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","34","3.606","38.2","41.2","17.6",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","700
021","33","3.530","30.3","45.5","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","41","3.638","41.5","41.5","14.6",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Intro to Financial Mgmnt","Course Total","108","3.601","37.0","42.6","18.5",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","765
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","999
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
