"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","16","3.500","62.5","6.3","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","101
002","18","3.583","44.4","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.425","50.0","25.0","5.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","004
101","16","2.938","18.8","37.5","25.0",".","6.3",".","12.5",".",".",".",".",".",".",".",".","."
"","005
101","24","3.583","41.7","41.7","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","101
007","20","2.975","10.0","25.0","30.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","008
101","23","3.425","34.8","17.4","26.1","4.3","4.3",".",".","8.7",".","4.3",".",".",".",".",".","."
"First Semester French","Course Total","137","3.358","37.2","26.3","20.4","4.4","7.3","0.7","1.5","1.5",".","0.7",".",".",".",".",".","."
"","102
001","17","3.219","17.6","23.5","41.2","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","102
002","22","3.659","50.0","40.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.500","18.2","63.6",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","102
004","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","67","3.569","43.3","34.3","11.9","4.5","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
203","24","3.521","41.7","45.8","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","203
003","23","3.630","52.2","26.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","16","3.438","50.0","31.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","203
005","17","3.469","35.3","29.4","23.5",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","98","3.567","49.0","30.6","14.3","2.0","1.0",".","2.0","1.0",".",".",".",".",".",".",".","."
"","204
002","23","3.068","21.7","30.4","17.4","8.7","13.0",".","4.3",".",".",".",".",".","4.3",".",".","."
"","204
003","20","3.500","35.0","35.0","20.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","004
204","16","3.344","31.3","31.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","204
005","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","67","3.323","29.9","32.8","19.4","6.0","7.5",".","1.5","1.5",".",".",".",".","1.5",".",".","."
"","227
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","003
227","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","34","3.636","50.0","26.5","17.6","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"","228
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
011","10","3.600","40.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","228
012","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
228","15","3.233","13.3","40.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","64","3.675","51.6","32.8","10.9","3.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Ethnic St-Fr/Francophone Wrlds","248
001","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","271
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
271","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
013","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","38","3.783","71.1","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","2.6"
