"COMMUNITY & ENVIRONMENTALSection","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","","15","3.600","60.0","13.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","","38","3.571","44.7","28.9","10.5","2.6","5.3",".",".","7.9",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","23","3.435","47.8","30.4","8.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","002","","16","3.344","43.8","31.3","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","248","001","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","248","002","","20","3.550","55.0","25.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","","37","3.662","59.5","27.0","8.1","2.7",".","2.7",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","","25","3.652","56.0","20.0","8.0","4.0","4.0",".",".",".",".",".",".",".","8.0",".",".","."
"Meth-Sociological Inquiry","357","001","","17","3.529","35.3","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","11","3.182","18.2","36.4","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","475","002","","7","2.750",".","28.6",".","42.9","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"","475","003","","8","3.188","37.5","37.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","475","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","19","3.194","31.6","31.6","5.3","15.8","5.3",".","5.3",".",".",".",".",".",".","5.3",".","."
"Capstone Experience","500","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","8","3.500","25.0","37.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Sociology of Agriculture","650","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
