"EGR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Engr Problem Solving I","271
001","","40","3.963","92.5","7.5",".",".","","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Intro to Engineering Research","468
001","","5","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Proposal-Engr Physics","469
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Engineering Analysis I","547
001","","18","3.417","22.2","38.9","38.9",".","","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics II","569
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","602
002","","18","3.861","77.8","16.7","5.6",".","","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","602
003","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics in EP","Course Total","","19","3.842","73.7","21.1","5.3","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Micro- and Nanoscale Mechanics","615
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"E P
347","Dept. Total","","85","3.800","70.6","17.6","9.4","",".","",".","",".","",".","",".","",".",".","",".","",".","2.4",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","16","3.935","87.5","12.5",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","22","3.975","90.9","4.5",".","",".","",".","",".","",".","",".","",".",".","",".","",".","4.5",".",".","."
"Senior","","","26","3.936","80.8","11.5","3.8","",".","",".","",".","",".","",".","",".",".","",".","",".","3.8",".",".","."
"Undergraduates","","","64","3.951","85.9","9.4","1.6","",".","",".","",".","",".","",".","",".",".","",".","",".","3.1",".",".","."
"Graduate","","","21","3.432","23.8","42.9","33.3","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","85","3.800","70.6","17.6","9.4","",".","",".","",".","",".","",".","",".",".","",".","",".","2.4",".",".","."
