"","AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","47","3.128","27.7","17.0","25.5","17.0","10.6","2.1",".",".",".",".",".",".",".",".",".","."
"Climate Change Econ & Policy","246","001","","77","3.125","20.8","26.0","24.7","14.3","11.7","1.3",".","1.3",".",".",".",".",".",".",".","."
"","299","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Farming Systems Management","320","001","","56","2.955","14.3","28.6","32.1","8.9","5.4","8.9","1.8",".",".",".",".",".",".",".",".","."
"Cooperatives","323","001","","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Economics","343","001","","20","3.134","35.0","10.0","20.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".","5.0","."
"Energy, Resources & Economics","371","001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","375","002","","29","3.638","65.5","24.1","3.4",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","375","003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","42","3.697","73.8","19.0","2.4",".","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","","29","3.286","31.0","37.9","10.3","3.4","10.3",".","3.4",".",".",".",".",".","3.4",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","16","3.063","43.8","18.8","6.3","6.3","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Intellectual Property Rights","540","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomic Thry","635","001","","18","3.472","27.8","38.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal I","636","001","","38","3.743","63.2","21.1","10.5","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Professional Development Sem","723","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","","7","3.500",".","14.3",".",".",".",".",".",".",".",".",".",".","85.7",".",".","."
"Development Economics 2","731","001","","6","3.500",".","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Microecon Resources & Energy","771","001","","9","3.056",".","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Sem Res/Energy Demand Analysis","773","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey & Sample Design","777","001","","14","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","","Page 1 of 420"
