"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","20","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","32","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","32","3.500",".","3.1",".",".",".",".",".","96.9","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","384","3.261","34.1","21.6","24.7","11.2","6.8","1.0","0.3",".","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","19","4.000","5.3",".",".",".",".",".",".","89.5","",".",".","",".","",".",".",".","5.3","."
"Professionals","404","3.263","32.7","20.5","23.5","10.6","6.4","1.0","0.2","4.5","",".",".","",".","",".","0.2",".","0.2","."
