"L&S","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"365
001
Machiavelli and His World","11","3.909","81.8","18.2",".",".",".",".",".",".","",".","",".",".",".","",".",".",".","."
"371
001
Interdis in Arts & Humanities","21","3.650","52.4","38.1",".",".",".","4.8",".",".","",".","",".",".",".","",".",".","4.8","."
"ILS
Dept. Total
500","839","3.654","51.7","16.4","8.5","1.3","0.8","0.7","0.6","",".","",".","19.2","0.2","",".","0.2",".","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","347","3.587","42.4","15.3","7.5","1.2","0.6","0.6","0.9","",".","",".","31.1","0.3","",".","0.3",".",".","."
"Sophomore","285","3.694","57.9","14.7","5.3","1.8","1.1","0.7","0.7","",".","",".","17.2","0.4","",".",".",".",".","0.4"
"Junior","119","3.642","60.5","16.0","14.3","1.7","1.7","1.7",".","",".","",".","3.4",".","",".","0.8",".",".","."
"Senior","87","3.708","57.5","27.6","14.9",".",".",".",".","",".","",".",".",".","",".",".",".",".","."
"Undergraduates","838","3.654","51.8","16.5","8.5","1.3","0.8","0.7","0.6","",".","",".","19.2","0.2","",".","0.2",".",".","0.1"
"Special","1","***","","","","","","","","","","","",".",".","",".",".",".","100.0","."
"Dept. Total","839","3.654","51.7","16.4","8.5","1.3","0.8","0.7","0.6","",".","",".","19.2","0.2","",".","0.2",".","0.1","0.1"
