"Where Science Meets Society","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Sci, Technol & Med in Society","901
001","","7","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Current Topics-Sci & Tech St","902
001","","11","",".",".",".",".","",".","",".","",".",".","",".","","100.0",".","",".","",".",".",".","."
"STS
875","Dept. Total","","47","3.700","46.8","12.8","10.6","",".","2.1","",".","",".","",".","",".","23.4","",".","",".","2.1","2.1",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","","5","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","","20","3.536","45.0","25.0","20.0","",".","5.0","",".","",".","",".","",".",".","",".","",".","5.0",".",".","."
"Undergraduates","","","28","3.620","53.6","21.4","17.9","",".","3.6","",".","",".","",".","",".",".","",".","",".","3.6",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".",".","100.0",".","."
"Graduate","","","18","4.000","38.9",".",".","",".",".","",".","",".","",".","",".","61.1","",".","",".",".",".",".","."
"","Dept. Total","","47","3.700","46.8","12.8","10.6","",".","2.1","",".","",".","",".","",".","23.4","",".","",".","2.1","2.1",".","."
