"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","73","3.199","28.8","26.0","15.1","11.0","8.2","2.7","1.4","6.8",".",".",".",".",".",".",".","."
"121
Horticulture Colloquium","001","","29","4.000","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","86.2","."
"234
Ornamental Plants","001","","19","3.833","78.9","10.5",".",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"261
Sustainable Turf Management","001","","27","3.611","63.0","7.4","22.2","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","8","2.250",".",".","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".","."
"299","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","16","3.333","25.0","18.8","43.8","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"350
Plants and Human Wellbeing","001","","66","3.240","15.2","34.8","12.1","12.1","3.0",".","1.5","6.1",".",".",".",".",".",".","15.2","."
"370
World Vegetable Crops","001","","35","3.000","31.4","11.4","20.0","17.1","11.4",".","5.7",".",".",".",".",".","2.9",".",".","."
"375
Special Topics","001","","20","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"376
Tropical Horticultural Systems","001","","38","3.792","60.5","28.9","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"571","001","","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"571","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"626
Mineral Nutrition of Plants","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"811
Biometric Proc-Plnt Breedng","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","005","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","Page 30 of 420"
