"GENDER AND WOMENS STUDIESSection","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","102","001","266","3.862","79.7","15.4","2.6","0.8","0.4",".","0.4",".",".",".",".",".","0.8",".",".","."
"","102","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Women & Society-Global","","Course Total","285","3.871","81.1","14.4","2.5","0.7","0.4",".","0.4",".",".",".",".",".","0.7",".",".","."
"Womens Bodies-Hlth&Disease","103","001","318","3.842","79.6","12.6","4.7","1.9","0.9",".",".",".",".",".",".",".","0.3",".",".","."
"Intro to LGBTQ+ Studies","200","001","126","3.064","17.5","27.0","30.2","12.7","6.3","4.8","0.8",".",".",".",".",".","0.8",".",".","."
"Women in Russn Lit in Trans","205","001","19","3.361","47.4","10.5","15.8","5.3","15.8",".",".",".",".",".",".",".","5.3",".",".","."
"German Women Writers-Tran","270","001","13","3.750","61.5","15.4","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305","001","21","3.595","38.1","42.9","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","001","41","3.524","41.5","39.0","4.9","12.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"","320","002","38","3.608","60.5","23.7","2.6","5.3","2.6",".","2.6",".",".",".",".",".","2.6",".",".","."
"Topics-Gender, Women & Society","","Course Total","79","3.564","50.6","31.6","3.8","8.9","2.5",".","1.3",".",".",".",".",".","1.3",".",".","."
"","340","001","39","3.679","64.1","23.1","10.3",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","340","002","35","3.729","68.6","20.0","2.9","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","","Course Total","74","3.703","66.2","21.6","6.8","2.7","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Transgender History","346","001","35","3.219","25.7","22.9","25.7","5.7","8.6","2.9",".",".",".",".",".",".","8.6",".",".","."
"Topics in Gender & Literature","350","001","28","3.446","42.9","25.0","17.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Sex and Power","361","001","34","3.439","32.4","35.3","23.5","2.9",".","2.9",".","2.9",".",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Sexuality & the Media","418","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","34","3.456","26.5","38.2","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","10","2.800","30.0",".","20.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","27","3.700","55.6","25.9","7.4",".","3.7",".",".","3.7",".",".",".",".","3.7",".",".","."
"Feminism&Soc&Culturl Theory","449","001","39","3.679","69.2","20.5","2.6","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Women and Politics","469","001","15","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Women and Gender","522","001","21","3.333","19.0","28.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","42","3.939","85.7","11.9",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Women's Global Health","535","001","40","3.692","60.0","25.0","10.0",".",".","2.5",".",".",".",".",".",".","2.5",".",".","."
"Capstone Smr in Gender & Wm St","640","001","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis I","691","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Spec Topics-Gender&Wmn Studies","720","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","790","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","799","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Study-Gen & Women's Study","880","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smnr:Topic-Gen & Women Studies","950","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
