"TERM : 1202","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2019-2020","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1978","3.686","60.7","16.7","8.9","4.4","1.9","0.2","",".","0.2","",".","6.7","0.1",".","0.2",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","48","2.917","14.6","16.7","22.9","29.2","16.7",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","18","3.167","16.7","33.3","38.9",".","5.6","5.6","",".",".","",".",".",".",".",".",".",".","."
"Junior","","10","3.350","60.0","10.0","10.0",".","10.0","10.0","",".",".","",".",".",".",".",".",".",".","."
"Senior","","3","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","79","3.063","22.8","19.0","25.3","17.7","12.7","2.5","",".",".","",".",".",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","24","4.000","95.8",".",".",".",".",".","",".",".","",".",".",".",".","4.2",".",".","."
"Prof Yr 1","","281","3.965","93.2","6.0","0.7",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 2","","686","3.545","49.3","15.3","7.1","5.8","2.8",".","",".",".","",".","19.2","0.1",".","0.1",".",".","."
"Prof Yr 3","","790","3.562","43.5","21.3","12.2","3.9","0.6",".","",".","0.5","",".",".",".","17.6","0.1",".","0.1","0.1"
"Prof Yr 4","","255","3.859","84.3","9.4","3.5","0.8","1.2","0.8","",".",".","",".",".",".",".",".",".",".","."
"Professionals","","2012","3.712","57.6","15.6","7.8","3.6","1.3","0.1","",".","0.2","",".","6.6","0.0","6.9","0.1",".","0.0","0.0"
"","Dept. Total","2117","3.686","56.7","15.6","8.3","4.2","1.7","0.2","",".","0.2","",".","6.2","0.0","6.6","0.1",".","0.0","0.0"
