"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"International Law","827
001","","28","1.875","17.9","3.6","32.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Water Rights Law","845
001","","15","0.786","13.3",".","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","849
001","","15","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","002
849","","14","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"Pre-Trial Advocacy","Course Total","","29","",".",".",".",".",".",".",".","82.8",".",".",".",".",".",".",".","17.2"
"","850
001","","55","0.636","7.3",".","5.5",".","5.5","7.3",".",".",".",".",".",".",".",".",".","."
"","002
850","","18","1.625","16.7",".","22.2",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","73","0.859","9.6",".","9.6",".","5.5","5.5",".","2.7",".",".",".",".",".",".",".","."
"Trial Advocacy","852
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","005
854","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
007","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","009
854","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
011","","20","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","854
012","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
014","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","","112","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","6.3"
"Advanced Criminal Procedure","860
001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","","22","",".",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","9.1"
"Immigration Law","873
001","","22","1.762","18.2",".","31.8",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","64","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
001","","6","1.800",".",".","50.0",".",".",".","16.7",".",".",".",".",".","16.7",".",".","."
"","904
002","","7","1.833","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Constitutional Law Seminar","Course Total","","13","1.818","15.4",".","30.8",".",".",".","7.7",".",".",".",".",".","7.7",".","7.7","."
"Probs-Criminal Justice Adm","915
00A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","918
001","","16","1.563","6.3",".","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems- Land Law Seminar","928
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","25","1.720","16.0",".","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
008","","20","1.354","15.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
019","","10","1.700","20.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
020","","10","1.900","10.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","79","1.569","13.9",".","27.8",".",".",".",".","5.1",".",".",".",".",".",".","6.3","."
"","990
027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","Page 346 of 420"
