"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"Introductory Geology","100","001","127","3.250","31.5","19.7","23.6","15.0","6.3","1.6",".","1.6",".",".",".",".",".","0.8",".","."
"Environmental Geology","106","001","96","3.723","70.8","11.5","6.3","4.2","1.0","2.1",".","4.2",".",".",".",".",".",".",".","."
"Geology of the National Parks","109","001","126","3.012","13.5","12.7","12.7","12.7","12.7",".",".","35.7",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","217","3.130","33.2","16.1","22.1","10.1","10.6","3.7","1.8","1.8",".",".",".",".","0.5",".",".","."
"Life in Earth's Extreme Envir","117","001","37","3.486","43.2","18.9","24.3","10.8",".",".",".",".",".",".",".",".",".","2.7",".","."
"Natural Hazards and Disasters","140","001","119","3.389","31.1","36.1","14.3","7.6","3.4","2.5",".","5.0",".",".",".",".",".",".",".","."
"","199","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Geologic Structures","202","001","38","2.932","21.1","10.5","36.8","2.6","21.1","5.3",".","2.6",".",".",".",".",".",".",".","."
"Geobiology","304","001","32","3.125","12.5","25.0","31.3","9.4","9.4",".",".","9.4",".",".",".",".","3.1",".",".","."
"Gems: Sci Behind the Sparkle","331","001","193","3.194","22.8","31.6","26.9","8.3","7.3","1.6","1.6",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","335","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","29","3.393","48.3","17.2","13.8","10.3","3.4",".","3.4","3.4",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","376","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","206","3.522","55.8","21.8","10.2","3.4","3.9","3.9","0.5","0.5",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","8","2.500","12.5",".","25.0","12.5","25.0","12.5",".",".",".",".",".",".","12.5",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geochronology & Timescales","610","001","12","4.000","83.3",".",".",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"Hydrogeology","627","001","21","3.150","19.0","9.5","52.4","9.5","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","681","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","3.833","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Glaciology","720","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Groundwater Flow Modeling","724","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Geochemistry of Sediments","732","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Structural Geology","755","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
