"SPANISH (SPANISH AND PORTUGSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.024","42.9","14.3","19.0",".","9.5","4.8","9.5",".",".",".",".",".",".",".",".","."
"","002
101","24","3.188","33.3","25.0","16.7","4.2","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","101
003","24","2.870","20.8","4.2","45.8","4.2","12.5","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"","004
101","24","3.375","37.5","20.8","29.2","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","005
101","23","3.250","34.8","13.0","34.8","8.7",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","116","3.145","33.6","15.5","29.3","4.3","9.5","2.6","3.4","1.7",".",".",".",".",".",".",".","."
"","102
001","22","3.568","54.5","18.2","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
102","22","2.977","18.2","22.7","27.3","9.1","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","003
102","22","2.977","22.7","18.2","36.4","4.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"","004
102","23","3.022","17.4","21.7","34.8","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","005
102","22","3.023","13.6","22.7","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","006
102","23","3.273","21.7","26.1","39.1",".","8.7",".",".",".",".",".",".",".",".",".","4.3","."
"","102
008","22","2.886","36.4","4.5","27.3","9.1","9.1","4.5","9.1",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","156","3.103","26.3","19.2","31.4","6.4","11.5","2.6","1.9",".",".",".",".",".",".",".","0.6","."
"","203
001","23","3.587","60.9","8.7","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","24","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
203","24","3.417","54.2","12.5","20.8","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","006
203","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
203","23","3.783","87.0",".","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","008
203","24","3.604","54.2","20.8","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","009
203","24","3.625","62.5","12.5","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","010
203","21","3.881","85.7","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
011","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
012","20","3.425","45.0","20.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","273","3.711","70.3","11.4","13.2","1.8","2.9",".","0.4",".",".",".",".",".",".",".",".","."
"","204
002","24","3.854","83.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.409","45.5","13.6","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","004
204","23","3.826","78.3","17.4",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
005","19","3.395","31.6","36.8","10.5","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","204
006","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
204","24","3.563","62.5","20.8","8.3",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","204
008","23","3.804","82.6",".","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","204
009","24","3.354","29.2","29.2","37.5",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","204
010","22","3.500","45.5","31.8","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","011
204","23","3.739","69.6","17.4","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","012
204","18","3.528","44.4","16.7","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","243","3.613","58.0","19.8","15.2","3.3","2.9","0.4","0.4",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","223
001","118","3.542","51.7","21.2","18.6","4.2","3.4",".","0.8",".",".",".",".",".",".",".",".","."
"","001
224","93","3.489","43.0","19.4","31.2","1.1","2.2","1.1",".","1.1",".",".",".",".","1.1",".",".","."
"","002
224","17","3.676","64.7","5.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","110","3.519","46.4","17.3","30.9","0.9","1.8","0.9",".","0.9",".",".",".",".","0.9",".",".","."
"","226
001","21","3.571","33.3","52.4","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 328 of 420",""
