"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","192","2.720","7.8","18.8","26.6","18.2","21.4","5.7","1.0","0.5",".",".",".",".",".",".",".","."
"Law, Politics and Society","217
001","34","3.030","14.7","20.6","38.2","2.9","20.6",".",".",".",".",".",".",".",".","2.9",".","."
"American Legal History to 1860","261
001","35","3.015","2.9","22.9","57.1","8.6",".",".","2.9","2.9",".",".",".",".","2.9",".",".","."
"","400
018","103","3.127","11.7","30.1","35.0","16.5","5.8",".",".","1.0",".",".",".",".",".",".",".","."
"","400
023","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
026","14","3.607","64.3","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","400
027","48","3.740","77.1","14.6",".","4.2","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","181","3.406","40.9","22.1","20.4","11.0","4.4",".","0.6","0.6",".",".",".",".",".",".",".","."
"Human Rights in Law & Society","409
001","33","3.344","27.3","39.4","18.2","9.1",".",".","3.0",".",".",".",".",".","3.0",".",".","."
"Crime, Gender and Justice","425
001","38","3.145","23.7","31.6","21.1","13.2","5.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"The History of Punishment","426
001","29","3.586","37.9","44.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430
002","15","3.133","20.0","13.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity, Race, and Justice","440
001","40","3.325","17.5","42.5","27.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","450
026","49","3.245","32.7","22.4","28.6","10.2",".","4.1","2.0",".",".",".",".",".",".",".",".","."
"","450
027","20","3.325","10.0","50.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","Course Total","69","3.268","26.1","30.4","30.4","8.7",".","2.9","1.4",".",".",".",".",".",".",".",".","."
"","645
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","645
003","7","3.214",".","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom","Course Total","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","001
663","15","3.300","26.7","33.3","26.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","001
694","27","3.769","66.7","22.2",".","7.4",".",".",".",".",".",".",".",".","3.7",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
