"","990
083","4","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
084","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
085","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","79","",".",".",".",".",".",".",".","29.1","1.3",".","",".","69.6",".",".",".","."
"BIOCHEM
200","Dept. Total","1602","3.386","46.6","14.9","13.5","6.6","7.8","1.4","0.2","4.2","0.1",".","",".","3.7","0.7",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","28","3.395","71.4","3.6",".","7.1","14.3",".",".",".",".",".","",".",".",".",".","3.6","."
"Junior","","407","3.203","38.3","15.0","19.2","11.5","12.8","2.0","0.5",".",".",".","",".",".","0.7",".",".","."
"Senior","","727","3.398","46.4","19.5","14.6","7.3","9.2","1.5","0.1","0.1",".",".","",".","0.7","0.1",".","0.4","."
"Undergraduates","","1182","3.334","45.1","17.3","15.6","8.6","10.4","1.6","0.3","0.1",".",".","",".","0.4","0.3",".","0.3","."
"Special","","19","2.904","10.5","15.8","42.1",".","5.3","10.5",".","10.5",".",".","",".",".","5.3",".",".","."
"Graduate","","395","3.733","52.7","7.8","6.3","0.8","0.3","0.5",".","16.5","0.3",".","",".","13.2","1.8",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","",".","",".","50.0",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","",".","",".","50.0",".",".",".","."
"Professionals","","6","4.000","50.0",".",".",".",".",".",".",".",".",".","",".","50.0",".",".",".","."
"","Dept. Total","1602","3.386","46.6","14.9","13.5","6.6","7.8","1.4","0.2","4.2","0.1",".","",".","3.7","0.7",".","0.2","."
