"","EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107","001","","33","3.567","51.5","18.2","18.2",".",".",".","3.0",".",".",".",".",".","3.0",".","6.1","."
"","150","001","","39","3.632","41.0","43.6","10.3","2.6",".",".",".",".",".",".",".",".",".",".","2.6","."
"","150","002","","44","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","","Course Total","","83","3.780","65.1","25.3","7.2","1.2",".",".",".",".",".",".",".",".",".",".","1.2","."
"Race,Ethnicty&Inequal-Am Ed","200","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","210","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","220","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","75","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","005","","30","3.966","90.0","6.7",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"School and Society","","Course Total","","186","3.986","96.8","2.7",".",".",".",".",".",".",".",".",".",".","0.5",".",".","."
"Globalization and Education","335","001","","16","3.833","75.0","12.5",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Comparative Education","340","001","","48","3.904","85.4","8.3","2.1","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"Independent Reading","399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412","001","","91","3.742","60.4","26.4","8.8","2.2",".",".",".",".",".",".",".",".","2.2",".",".","."
"Urban School Policy","510","001","","27","3.685","55.6","29.6","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","","27","3.780","59.3","25.9","7.4",".",".",".",".","3.7",".",".",".",".",".","3.7",".","."
"Education Policy and Practice","575","001","","26","3.875","73.1","15.4","3.8",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Problems in Educ Pol","600","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Ed Policy Studies","701","001","","17","",".",".",".",".",".",".",".",".",".","82.4",".",".",".",".",".","."
"Hist: Higher Ed-Europe&Amer","713","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","780","001","","22","3.975","86.4","4.5",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Theory & Meth in Compar Ed","860","001","","19","3.969","78.9","5.3",".",".",".",".",".",".",".",".",".",".","10.5",".","5.3","."
"Theories-Soc & Ed Change","870","001","","20","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Hist of Educ-Multiculturl Amer","903","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Qualitative Methodology","955","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","021","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","","Page 93 of 420"
