"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"CSCS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","7","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","54","3.802","75.9","7.4","13.0","1.9",".","",".",".",".","",".",".","",".",".","1.9",".",".","."
"Junior","140","3.675","63.6","20.0","5.0","7.1","1.4","",".","0.7",".","",".",".","",".",".","2.1",".",".","."
"Senior","210","3.808","79.5","10.5","5.7","3.3","0.5","",".","0.5",".","",".",".","",".",".",".",".",".","."
"Undergraduates","411","3.766","74.0","13.1","6.3","4.4","0.7","",".","0.5",".","",".",".","",".",".","1.0",".",".","."
"Graduate","59","3.780","52.5","16.9","3.4",".","1.7","",".",".","22.0","",".",".","",".","3.4",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
