"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","","19","3.447","36.8","31.6","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
008","","13","3.269","30.8","23.1","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","101
009","","16","3.625","62.5","6.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","98","3.577","50.0","23.5","21.4","2.0","3.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","17","3.588","47.1","35.3","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","22","3.614","63.6","13.6","13.6",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","39","3.603","56.4","23.1","12.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","003
201","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fast-track Intermed Italian","202
001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","9","3.556","55.6","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","203
003","","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","","23","3.674","69.6","17.4","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","","42","3.667","69.0","14.3","7.1","4.8","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
003","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Literature & Culture I","321
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machiavelli and His World","365
001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","631
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","990
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
