"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Electronic Circuits II","342
001","63","3.278","36.5","23.8","11.1","15.9","12.7",".",".",".",".",".",".",".",".",".",".","."
"","352
001","101","3.178","22.8","28.7","21.8","18.8","6.9",".","1.0",".",".",".",".",".",".",".",".","."
"","352
002","23","3.304","17.4","39.1","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","124","3.202","21.8","30.6","23.4","17.7","5.6",".","0.8",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","75","3.253","26.7","34.7","18.7","10.7","6.7","1.3","1.3",".",".",".",".",".",".",".",".","."
"","354
001","31","3.226","32.3","19.4","25.8","6.5","16.1",".",".",".",".",".",".",".",".",".",".","."
"","354
002","44","3.432","40.9","25.0","18.2","11.4","4.5",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","75","3.347","37.3","22.7","21.3","9.3","9.3",".",".",".",".",".",".",".",".",".",".","."
"Elect Power for Alt Energy Sys","356
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
006","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","67","3.866","79.1","14.9","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","001
376","148","3.017","18.2","26.4","17.6","21.6","13.5","2.7",".",".",".",".",".",".",".",".",".","."
"Topics-Elect&Computer Engr","379
001","46","3.589","47.8","30.4","10.9","6.5","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","28","3.992","89.3","3.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","001
411","29","3.052","17.2","20.7","31.0","17.2","13.8",".",".",".",".",".",".",".",".",".",".","."
"","411
003","17","3.176","35.3","29.4","5.9","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","Course Total","46","3.098","23.9","23.9","21.7","13.0","15.2","2.2",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","427
001","56","3.589","37.5","46.4","12.5","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431
001","21","3.750","66.7","9.5","19.0",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Introduction to Cryptography","435
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems I","001
436","14","3.615","35.7","42.9","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Introduction to Robotics","439
001","25","3.360","24.0","32.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","445
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","9","3.438","22.2","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","11.1","."
"Mobile Computing Laboratory","454
001","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462
001","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 124 of 420",""
