"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","10","3.543","60.0",".","20.0",".","10.0","",".","",".",".","",".",".","",".","",".","",".","10.0",".","."
"Junior","","","17","3.429","64.7",".","11.8","11.8","11.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.743","68.4","21.1","5.3","5.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","51","3.616","66.7","9.8","9.8","5.9","5.9","",".","",".",".","",".",".","",".","",".","",".","2.0",".","."
"Special","","","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","10","4.000","60.0",".",".",".",".","",".","",".","40.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","64","3.656","64.1","7.8","7.8","4.7","4.7","",".","",".","9.4","",".",".","",".","",".","",".","1.6",".","."
