"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"234
Prin&Prac-Nuclr Reactr Oper","001","","14","2.964","7.1","28.6","35.7","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","26","3.173","11.5","42.3","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","12","2.708",".","33.3","33.3","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","7","3.417","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"433
Principles of Corrosion","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"520
2-Phase Flow & Heat Transfr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","11","3.364","27.3","18.2","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","14","3.346","14.3","42.9","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","10","3.400","50.0","10.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","3.906","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","7","",".",".",".",".",".",".",".","71.4","14.3",".",".",".","14.3",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","35","",".",".",".",".",".",".",".","57.1","5.7",".",".","37.1",".",".",".","."
"903
Spec Topics-Plasma Physics","001","","17","3.600","41.2","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","41.2","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 149 of 420",""
