"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","283","3.140","17.7","31.8","26.5","15.2","6.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"Global Language Issues","211
211","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
008","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
010","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
011","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
015","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
028","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
036","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","73","",".",".",".",".",".",".",".",".",".","98.6","1.4",".",".",".",".","."
"","320
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
320","","15","3.821","66.7","20.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","","21","3.875","76.2","14.3","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"From Fascism to 1968","366
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","001
373","","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","401
001","","23","3.717","69.6","13.0","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","403
001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Women's Global Health","535
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","601
001","","21","3.452","52.4","33.3","4.8",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
