"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFFASection","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR
Dept. Total
826","355","3.696","49.3","22.0","11.3","1.1","0.3","",".","0.3","1.4","",".","13.0","",".","",".","0.8",".","0.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","16","3.219","6.3","43.8","43.8",".","6.3","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","7","3.591","42.9","28.6","28.6",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","21","3.381","42.9","19.0","33.3",".",".","",".","4.8",".","",".",".","",".","",".",".",".",".","."
"Senior","43","3.629","39.5","25.6","14.0","2.3",".","",".",".",".","",".","18.6","",".","",".",".",".",".","."
"Undergraduates","87","3.477","34.5","27.6","25.3","1.1","1.1","",".","1.1",".","",".","9.2","",".","",".",".",".",".","."
"Special","4","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","242","3.773","54.5","19.8","7.0","1.2",".","",".",".","1.2","",".","14.0","",".","",".","1.2",".","0.4","."
"Prof Yr 2","13","3.773","53.8","23.1","7.7",".",".","",".",".",".","",".","15.4","",".","",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","8","3.941","62.5","12.5",".",".",".","",".",".",".","",".","25.0","",".","",".",".",".",".","."
"Professionals","22","3.830","54.5","18.2","4.5",".",".","",".",".","4.5","",".","18.2","",".","",".",".",".",".","."
"Dept. Total","355","3.696","49.3","22.0","11.3","1.1","0.3","",".","0.3","1.4","",".","13.0","",".","",".","0.8",".","0.3","."
