"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","298","3.167","27.9","19.8","24.5","17.4","8.7","0.3","1.0",".",".",".",".",".","0.3",".",".","."
"","103
002","221","3.068","22.6","18.1","29.0","13.6","15.8","0.5","0.5",".",".",".",".",".",".",".",".","."
"","003
103","140","3.115","27.9","18.6","22.9","14.3","14.3",".","1.4",".",".",".",".",".","0.7",".",".","."
"General Physics","Course Total","659","3.123","26.1","19.0","25.6","15.5","12.3","0.3","0.9",".",".",".",".",".","0.3",".",".","."
"","104
001","243","3.080","23.5","23.0","18.1","21.0","12.8","1.2","0.4",".",".",".",".",".",".",".",".","."
"","104
002","111","3.126","26.1","25.2","14.4","21.6","10.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","354","3.095","24.3","23.7","16.9","21.2","12.1","1.1","0.6",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","51","3.969","90.2","5.9",".",".",".",".",".","3.9",".",".",".",".",".",".",".","."
"","109
001","112","3.415","36.6","35.7","13.4","9.8","1.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"","109
002","104","3.587","52.9","23.1","15.4","5.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","216","3.498","44.4","29.6","14.4","7.9","2.3","0.9","0.5",".",".",".",".",".",".",".",".","."
"","115
001","60","3.059","28.3","18.3","16.7","20.0","8.3","6.7",".","1.7",".",".",".",".",".",".",".","."
"","115
002","20","3.075","20.0","25.0","20.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Energy","Course Total","80","3.063","26.3","20.0","17.5","20.0","10.0","5.0",".","1.3",".",".",".",".",".",".",".","."
"Directed Study","199
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","201
001","245","2.935","21.2","17.1","20.0","19.6","17.6","4.5",".",".",".",".",".",".",".",".",".","."
"","202
001","194","2.938","12.4","19.1","27.8","27.3","12.4","1.0",".",".",".",".",".",".",".",".",".","."
"","002
202","198","3.025","17.7","18.7","25.8","26.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","392","2.982","15.1","18.9","26.8","27.0","11.7","0.5",".",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","21","3.286","33.3","23.8","14.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","269","2.864","17.1","21.2","18.6","19.3","17.5","4.8","1.5",".",".",".",".",".",".",".",".","."
"General Physics","208
001","169","2.926","18.9","9.5","36.1","16.0","16.6","2.4","0.6",".",".",".",".",".",".",".",".","."
"","235
001","12","3.409","25.0","33.3","25.0","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","235
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Solid State Electronics","Course Total","14","3.462","28.6","35.7","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Intro to Modern Physics","241
001","23","2.659","17.4","17.4","4.3","4.3","47.8","4.3",".",".",".",".",".",".","4.3",".",".","."
"A Modern Intro to Physics","247
001","69","3.370","40.6","21.7","14.5","17.4","5.8",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","43","3.267","39.5","20.9","18.6","9.3","7.0","2.3","2.3",".",".",".",".",".",".",".",".","."
"Directed Study","298
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
001","20","3.250","25.0","45.0","15.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","002
307","23","3.609","30.4","60.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","43","3.442","27.9","53.5","11.6","2.3","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","64","3.164","46.9","9.4","14.1","10.9","12.5","1.6","4.7",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","40","2.875","7.5","27.5","37.5","12.5","5.0","7.5","2.5",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","43","3.105","30.2","16.3","34.9",".","11.6","4.7","2.3",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371
001","20","3.289","15.0","35.0","35.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Special Topics in Physics","406
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","68","3.152","33.8","13.2","25.0","7.4","13.2","4.4",".",".",".",".",".",".","2.9",".",".","."
"Atomic and Quantum Physics","448
001","56","3.250","39.3","26.8","19.6","1.8","3.6","3.6","5.4",".",".",".",".",".",".",".",".","."
"","499
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 298 of 420",""
