"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","201
010","18","3.667","72.2","11.1",".","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","188","3.915","92.0","4.3","1.1","1.1","1.1","0.5",".",".",".",".",".",".",".",".",".","."
"","207
001","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","207
002","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
003","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
004","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
005","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","207
006","14","3.500","57.1","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","207
007","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
008","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Creative Writing","Course Total","118","3.801","77.1","14.4","5.1","1.7","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"The English Language","001
214","85","3.363","29.4","40.0","17.6","5.9","3.5",".","2.4",".",".",".",".",".",".",".","1.2","."
"V Nabokov: Russ&Amer Writng","223
001","29","3.707","75.9","10.3","10.3",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Culture I","241
001","102","3.282","42.2","18.6","17.6","5.9","10.8","2.0","2.0",".",".",".",".",".","1.0",".",".","."
"Literature and Culture II","242
001","96","3.592","51.0","25.0","11.5","5.2","2.1","1.0",".",".",".",".",".",".","2.1","1.0",".","1.0"
"","245
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","18","3.417","27.8","50.0","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","245
003","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
004","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in the Major","Course Total","65","3.708","60.0","27.7","9.2",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","307
001","13","3.792","61.5","23.1","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","307
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","005
307","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","72","3.852","79.2","12.5","5.6",".","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Structure of English","314
001","23","3.659","69.6","17.4",".","4.3",".",".","4.3",".",".",".",".",".",".",".",".","4.3"
"English Phonology","315
001","13","3.292","23.1","30.8","23.1","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","316
001","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","318
001","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","328
001","25","3.780","64.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","350
001","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","27","3.269","48.1","18.5","14.8","3.7",".","3.7","7.4","3.7",".",".",".",".",".",".",".","."
"","002
351","34","3.375","47.1","8.8","20.6","14.7",".",".","2.9","2.9",".",".",".",".","2.9",".",".","."
"Modernist Novel","Course Total","61","3.328","47.5","13.1","18.0","9.8",".","1.6","4.9","3.3",".",".",".",".","1.6",".",".","."
"British Lit since 1900","353
001","14","3.107","28.6","14.3","28.6","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"African Diaspora Literature","001
374","30","3.103","6.7","43.3","23.3","10.0","13.3",".",".",".",".",".",".",".","3.3",".",".","."
"Race, Sex, and Texts","401
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Nonfiction","407
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 224 of 420",""
