"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","7459","3.013","29.5","12.7","22.8","9.5","13.8","4.3","1.5","5.3","0.0",".","",".","0.1","0.3","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1831","2.866","20.9","13.4","26.2","13.3","18.0","6.8","1.1","0.1",".",".","",".",".","0.3",".",".","0.1"
"Sophomore","","2073","3.091","30.2","14.5","25.3","9.6","14.7","3.9","1.3",".",".",".","",".",".","0.2",".",".","0.1"
"Junior","","1507","2.925","27.7","11.9","25.2","10.4","17.1","5.0","2.4","0.1",".",".","",".","0.1","0.2",".",".","."
"Senior","","1034","3.050","33.6","13.1","24.2","9.6","13.0","3.6","2.5",".",".",".","",".","0.6",".",".",".","."
"Undergraduates","","6445","2.980","27.5","13.3","25.4","10.8","15.9","4.9","1.7","0.0",".",".","",".","0.1","0.2",".",".","0.1"
"Special","","43","3.180","32.6","16.3","20.9","9.3","11.6","2.3","2.3","2.3",".",".","",".",".",".",".","2.3","."
"Graduate","","1219","3.695","54.1","6.7","4.8","0.5","0.2",".",".","32.2","0.1",".","",".",".","0.7","0.1","0.7","0.1"
"","Dept. Total","7707","3.013","31.7","12.3","22.1","9.2","13.4","4.2","1.4","5.1","0.0",".","",".","0.1","0.3","0.0","0.1","0.1"
