"HUMAN DEVEL & FAMILY STUDIESection","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"HDFS Leadership Symposium","253","001","136","3.860","84.6","4.4","5.9","0.7",".","1.5",".","0.7",".",".",".",".","2.2",".",".","."
"Development of Young Child","362","001","251","3.705","73.3","12.0","6.4","3.2","3.6","1.2","0.4",".",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363","001","255","3.658","62.7","18.8","10.6","3.5","2.7",".","0.8","0.8",".",".",".",".",".",".",".","."
"","425","001","44","3.349","18.2","38.6","34.1","6.8",".",".",".",".",".",".",".",".","2.3",".",".","."
"","425","002","36","3.583","66.7","11.1","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","","Course Total","80","3.456","40.0","26.3","23.8","6.3",".","2.5",".",".",".",".",".",".","1.3",".",".","."
"Family&Com Influences-Child","469","001","39","3.808","74.4","17.9","5.1",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471","001","39","3.654","51.3","30.8","15.4","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","474","001","40","3.750","70.0","20.0","7.5",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"","474","002","40","3.813","72.5","22.5","2.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","","Course Total","80","3.781","71.3","21.3","5.0",".","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","002","40","3.824","75.0","7.5","5.0","5.0",".",".",".","2.5",".",".",".",".","5.0",".",".","."
"Couple Relationships","517","001","39","3.692","79.5","10.3","2.6",".","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535","001","36","3.639","75.0","5.6","5.6","5.6","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","33","3.953","90.9","3.0","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Parent Educ & Support Programs","650","001","33","3.922","87.9","3.0","6.1",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Developmental & Fam Assessment","663","001","36","3.714","77.8","11.1",".",".","2.8","5.6",".",".",".",".",".",".","2.8",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Family Theory I (Survey)","865","001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bridging Gap: Rsch & Action","872","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
