"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"Disability and Society","100
001","73","3.733","76.7","15.1","2.7",".","1.4","2.7","1.4",".",".",".",".",".",".",".",".","."
"Health & Rhabilitatn Prfessns","125
001","35","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Special Education","Course Total","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
300","58","3.922","93.1","5.2",".",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"","002
300","84","3.880","85.7","4.8","7.1",".","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"","300
003","67","3.791","76.1","16.4","3.0","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","209","3.863","84.7","8.6","3.8","0.5","1.0","1.0",".","0.5",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","310
001","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","22","3.727","54.5","40.9",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","330
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","Course Total","27","3.574","55.6","33.3",".","7.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"AAC and Assistive Tech","401
001","27","3.667","85.2","7.4",".",".",".",".","7.4",".",".",".",".",".",".",".",".","."
"Adol. Lit. for Stdts with Dis","403
001","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","464
001","74","3.892","85.1","8.1","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","466
001","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sp Ed Student Teaching: MC-EA","477
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","48","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
501","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","002
501","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","29","3.893","75.9","20.7",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","505
001","39","3.808","71.8","20.5","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","505
002","40","3.913","85.0","12.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","79","3.861","78.5","16.5","3.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Access to General Curriculum","515
001","32","3.817","81.3",".","6.3","3.1","3.1",".",".",".",".",".",".",".","6.3",".",".","."
"Rehab Psych-Medical Aspects","550
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
019","9","3.946","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
023","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","51","3.990","90.2","2.0",".",".",".",".",".","7.8",".",".",".",".",".",".",".","."
"","660
054","31","3.516","83.9",".",".","6.5",".",".","9.7",".",".",".",".",".",".",".",".","."
"","660
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
068","10","3.893","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
078","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
079","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","61","3.727","86.9","4.9",".","3.3",".",".","4.9",".",".",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 79 of 420"
