"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"NTP","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","37","3.569","54.1","27.0","10.8","2.7","5.4","",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","39","3.551","51.3","28.2","12.8","2.6","5.1","",".","",".",".",".",".","",".",".",".",".",".","."
"Special","3","***","","","","","","","","","","","",".","",".",".",".","33.3",".","."
"Graduate","155","3.479","19.4","5.2","3.9",".","1.9","",".","",".","58.1","0.6","8.4","",".","0.6","1.3",".",".","."
"Prof Yr 2","6","4.000","33.3",".",".",".",".","",".","",".","66.7",".",".","",".",".",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","9","4.000","55.6",".",".",".",".","",".","",".","33.3",".","11.1","",".",".",".",".",".","."
"Professionals","17","4.000","47.1",".",".",".",".","",".","",".","47.1",".","5.9","",".",".",".",".",".","."
