"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","63","3.310","44.4","11.1","25.4","3.2","14.3","1.6",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","93","3.452","25.8","43.0","28.0","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","93","3.532","49.5","18.3","24.7","4.3","3.2",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","94","3.798","66.0","27.7","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","93","3.656","53.8","24.7","20.4","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","93","4.000","97.8",".",".",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"528
Immunology","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","003","","93","3.871","76.3","21.5","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","93","3.543","38.7","36.6","20.4","3.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","29","4.000","96.6",".",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"675","001","","16","4.000","6.3",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"675","002","","37","",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7",".",".","."
"675","003","","192","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","245","4.000","0.4",".",".",".",".",".",".","99.2",".",".",".",".","0.4",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.933","73.3",".","6.7",".",".",".",".","6.7",".",".",".",".","13.3",".",".","."
"775","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"930
Advanced Seminar","012","","22","3.875","31.8",".","4.5",".",".",".",".","54.5",".",".",".",".","9.1",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
