"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS
754","Dept. Total","3403","3.106","26.9","20.1","20.4","14.6","10.4","1.7","0.7","3.5","",".","0.0","",".","1.3","0.3","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","182","3.364","41.8","20.3","20.3","11.0","4.9","1.6",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","575","3.058","25.7","21.9","20.9","15.0","14.4","1.4","0.5",".","",".","0.2","",".",".",".",".",".","."
"Junior","","1235","3.053","23.9","20.2","23.4","18.3","11.3","1.8","0.9","0.1","",".",".","",".",".","0.2",".",".","."
"Senior","","993","3.087","27.8","20.3","20.2","15.9","11.5","2.2","1.0",".","",".",".","",".","0.5","0.3","0.1","0.1","."
"Undergraduates","","2985","3.082","26.6","20.6","21.7","16.4","11.6","1.8","0.8","0.0","",".","0.0","",".","0.2","0.2","0.0","0.0","."
"Special","","25","2.939","28.0","12.0","8.0","12.0","12.0","8.0",".","20.0","",".",".","",".",".",".",".",".","."
"Graduate","","394","3.569","28.7","17.0","11.4","1.0","1.3","0.3",".","28.9","",".",".","",".","9.9","0.8",".","0.5","0.3"
"","Dept. Total","3404","3.106","26.9","20.1","20.4","14.6","10.4","1.7","0.7","3.5","",".","0.0","",".","1.3","0.3","0.0","0.1","0.0"
