"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"","101
001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Textile Design","Course Total","","40","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals I","120
001","","100","3.465","38.0","42.0","12.0",".","2.0","4.0","1.0",".",".",".",".",".","1.0",".",".","."
"Intro to Interior Architecture","130
001","","60","3.600","48.3","33.3","13.3","3.3",".","1.7",".",".",".",".",".",".",".",".",".","."
"Sewn Construction I","153
001","","34","3.647","52.9","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
210","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
210","","12","3.500","41.7","25.0","16.7",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Fashion Illustration","Course Total","","21","3.650","52.4","28.6","9.5",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Person & Environ Interactions","221
001","","78","3.468","43.6","26.9","20.5","2.6","5.1",".","1.3",".",".",".",".",".",".",".",".","."
"Interior Design I","222
001","","34","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Interior Architect Design","223
001","","36","3.625","33.3","61.1","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Materials and Finishes","224
001","","34","3.833","64.7","32.4",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Textile Dsgn:Print & Dye I","227
001","","13","3.833","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Textile Design: Weaving I","229
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","241
002","","17","3.733","58.8","11.8","17.6",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","241
003","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication I","Course Total","","34","3.797","67.6","14.7","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Design Leadership Symposium","252
001","","86","3.866","84.9","7.0","4.7","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","","10","3.500","30.0","20.0","30.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Patternmaking-Apparel Design","Course Total","","24","3.568","41.7","20.8","29.2",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Dimensions-Material Culture","001
264","","14","3.115",".","35.7","42.9","14.3",".",".",".",".",".",".",".",".","7.1",".",".","."
"Cloth to Clothing","319
001","","15","3.714","53.3","26.7","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Design Thinking","341
001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Textiles","430
002","","41","3.816","58.5","34.1",".",".",".",".",".","4.9",".",".",".",".","2.4",".",".","."
"Color Theory and Technology","451
001","","30","3.817","76.7","10.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
501","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","36","3.890","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561
001","","38","3.658","47.4","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","001
622","","36","3.542","41.7","41.7","2.8","11.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"Interior Design V","626
001","","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 158 of 420",""
