"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills I: Prof Prac in OT","610
001","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills III: Org & Mgmt-OT","612
001","26","3.596","30.8","57.7","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational-based Thry & Prac","620
001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yng Adult Occs&Ther Interventn","623
001","26","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Adoles&Yng Adlt","626
001","26","3.920","80.8","15.4",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Med Lectures for Occ Therapy","629
001","25","3.860","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Neuroanatomy","640
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level II Fieldwork A","662
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Level II Fieldwork B","664
001","26","",".",".",".",".",".",".",".",".",".","96.2",".",".",".",".",".","."
"Sci Inq-OT I: Evidence-Based","671
001","25","3.520","16.0","72.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inq-OT III: Data Coll&Anal","673
001","26","3.750","57.7","34.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"OT Evidence in Practice","871
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Outcome Measure in OT","873
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","881
004","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"OTD Capstone","Course Total","10","3.750","30.0",".","10.0",".",".",".",".",".",".",".",".","60.0",".",".",".","."
"Inter-Prof Devel Leadership","890
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","324","3.808","59.0","21.0","4.3",".",".",".",".",".",".","13.3",".","1.9","0.3",".",".","."
